"id","date_time","incident_num","location","apt_lot","type_id","lat","lng","group"
3605,10/19/12 10:51 PM,2012200669,"3700 ZEBRA DR-CO",,10,38.98757,-92.3307,-1
151,10/31/12 07:29 PM,2012208458,"2406 WHITE GATE DR-CO",,24,38.96741,-92.30202,-1
1165,10/28/12 04:59 AM,2012206167,"51 CONLEY RD-CO",,8,38.95045,-92.29421,-1
8409,10/03/12 05:35 PM,2012190040,"5004 RICE RD-CO",,16,38.97392,-92.26117,2
6649,10/09/12 07:29 PM,2012193955,"RANGE LINE ST-CO/I70 E-CO",,3,38.9686,-92.3249,-1
8505,10/03/12 12:53 PM,2012189879,"2001 BROADWAY E-CO",2,1,38.95014,-92.3081,-1
5963,10/12/12 06:11 AM,2012195577,"STADIUM BLVD N-CO/ASH ST W-CO",,1,38.9576,-92.3714,5
6867,10/08/12 06:51 PM,2012193354,"1600 BROADWAY E-CO",,9,38.94981,-92.31585,-1
4493,10/16/12 08:26 PM,2012198644,"CITY",,28,38.9525,-92.3305,-1
3520,10/20/12 03:53 AM,2012200874,"1600 BLK HERSHEY CT-CO",,4,38.9682,-92.2791,-1
1854,10/26/12 02:04 PM,2012204798,"102 NINTH ST S-CO",,22,38.95027,-92.32739,-1
808,10/29/12 04:44 PM,2012206920,"100 BROADWAY W-CO",,8,38.95108,-92.33983,-1
7960,10/04/12 11:07 PM,2012190974,"301 SMILEY LN W-CO",,16,38.99508,-92.34023,-1
2866,10/22/12 09:36 PM,2012202331,"STADIUM BLVD N-CO/BERNADETTE DR-CO",,7,38.9653,-92.3712,-1
2302,10/24/12 11:38 PM,2012203739,"3920 ROCK QUARRY RD-CO",,17,38.90558,-92.31303,-1
6026,10/12/12 01:47 AM,2012195455,"3100 VANDIVER DR-CO",,37,38.97133,-92.29156,-1
7970,10/04/12 10:11 PM,2012190951,"HIGHWAY 63 S SB-CO/GRINDSTONE PKWY-CO",,7,38.9129,-92.2938,-1
9043,10/01/12 06:08 PM,2012188747,"4600 BLK PARIS RD-CO",,14,38.9976,-92.2803,-1
2295,10/25/12 12:04 AM,2012203758,"5700 ST CHARLES RD E-CO",,5,38.96277,-92.2507,2
445,10/30/12 09:46 PM,2012207815,"300 MCBAINE AV-CO",,20,38.95566,-92.34208,-1
8370,10/03/12 07:51 PM,2012190123,"SEVENTH ST N-CO/WILKES BLVD-CO",,50,38.9605,-92.3294,-1
6615,10/09/12 09:04 PM,2012194062,"111 HUBBELL DR-CO",,32,38.95335,-92.32378,-1
